county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Coosa County,ABSENTEE,23.0,88.0,25.0,87.0,26.0,,,85.0,,,90.0,19.0,,59.0,25.0,85.0,Coosa County,ABSENTEE
Coosa County,COMMUNITY LIFE CTR BOX 9,171.0,16.0,174.0,13.0,171.0,,,15.0,,,27.0,117.0,,2.0,172.0,13.0,Coosa County,COMMUNITY LIFE CTR BOX 9
Coosa County,COURTHOUSE BOX 10,130.0,350.0,124.0,345.0,130.0,,,339.0,,,341.0,85.0,,163.0,127.0,340.0,Coosa County,COURTHOUSE BOX 10
Coosa County,EQUALITY METHODIST BOX 8,71.0,289.0,63.0,297.0,59.0,,,300.0,,,299.0,32.0,,206.0,62.0,296.0,Coosa County,EQUALITY METHODIST BOX 8
Coosa County,GOODWATER COMM CTR BOX 1,535.0,180.0,531.0,183.0,536.0,,,172.0,,,203.0,451.0,,92.0,530.0,179.0,Coosa County,GOODWATER COMM CTR BOX 1
Coosa County,HANOVER BOX 3,31.0,148.0,22.0,154.0,30.0,,,149.0,,,154.0,13.0,,84.0,22.0,154.0,Coosa County,HANOVER BOX 3
Coosa County,KELLYTON COMPLEX BOX 2,262.0,291.0,255.0,291.0,260.0,,,285.0,,,296.0,216.0,,159.0,258.0,285.0,Coosa County,KELLYTON COMPLEX BOX 2
Coosa County,MARBLE VALLEY FIRE BOX 18,17.0,80.0,15.0,82.0,14.0,,,83.0,,,83.0,3.0,,67.0,14.0,83.0,Coosa County,MARBLE VALLEY FIRE BOX 18
Coosa County,MT_ OLIVE COMM CTR BOX 20,38.0,106.0,35.0,108.0,40.0,,,100.0,,,108.0,29.0,,57.0,36.0,105.0,Coosa County,MT_ OLIVE COMM CTR BOX 20
Coosa County,PROVISIONAL,1.0,4.0,1.0,4.0,1.0,,,4.0,,,4.0,1.0,,4.0,1.0,4.0,Coosa County,PROVISIONAL
Coosa County,RAY FIRE DEPT BOX 7,137.0,182.0,130.0,181.0,133.0,,,183.0,,,195.0,94.0,,102.0,125.0,188.0,Coosa County,RAY FIRE DEPT BOX 7
Coosa County,RICHVILLE FIRE BOX 13,27.0,196.0,19.0,202.0,24.0,,,194.0,,,194.0,14.0,,125.0,21.0,199.0,Coosa County,RICHVILLE FIRE BOX 13
Coosa County,WEOGUFKA VOTING HS BOX 17,23.0,289.0,10.0,300.0,15.0,,,292.0,,,290.0,5.0,,189.0,8.0,301.0,Coosa County,WEOGUFKA VOTING HS BOX 17
Coosa County,WEST COOSA SENIOR CTR BOX 5,56.0,566.0,42.0,577.0,39.0,,,582.0,,,571.0,21.0,,391.0,38.0,582.0,Coosa County,WEST COOSA SENIOR CTR BOX 5
