county,precinct,Gov_DEM,Gov_REP,LtGov_DEM,LtGov_REP,StHOR_DEM,StHOR_IND,StHOR_LIB,StHOR_REP,StSen_DEM,StSen_IND,StSen_REP,SP_DEM,SP_LIB,SP_REP,USHOR_DEM,USHOR_REP,county_id,original_precinct_name
Sumter County,ABSENTEE,276.0,40.0,263.0,40.0,274.0,,,,275.0,,,204.0,,10.0,277.0,,Sumter County,ABSENTEE
Sumter County,BELLAMY COMMUNITY CTR,218.0,23.0,216.0,21.0,228.0,,,,225.0,,,195.0,,11.0,225.0,,Sumter County,BELLAMY COMMUNITY CTR
Sumter County,BOYD TRAILER,113.0,34.0,110.0,30.0,125.0,,,,123.0,,,103.0,,8.0,124.0,,Sumter County,BOYD TRAILER
Sumter County,COATOPA BEL FIRE DEPT,155.0,95.0,147.0,90.0,184.0,,,,180.0,,,117.0,,28.0,185.0,,Sumter County,COATOPA BEL FIRE DEPT
Sumter County,CUBA COMMUNITY CTR,409.0,181.0,412.0,175.0,469.0,,,,470.0,,,372.0,,69.0,464.0,,Sumter County,CUBA COMMUNITY CTR
Sumter County,EMELLE SUMTER TOWN HALL,164.0,68.0,161.0,69.0,189.0,,,,184.0,,,139.0,,23.0,187.0,,Sumter County,EMELLE SUMTER TOWN HALL
Sumter County,EPES COMMUNITY CTR,226.0,33.0,226.0,32.0,234.0,,,,233.0,,,215.0,,13.0,236.0,,Sumter County,EPES COMMUNITY CTR
Sumter County,GAINESVILLE COMMUNITY CTR,272.0,23.0,266.0,26.0,277.0,,,,278.0,,,259.0,,8.0,279.0,,Sumter County,GAINESVILLE COMMUNITY CTR
Sumter County,GEIGER TOWN HALL,129.0,27.0,128.0,29.0,134.0,,,,135.0,,,125.0,,14.0,136.0,,Sumter County,GEIGER TOWN HALL
Sumter County,LIVINGSTON CIVIC CTR,964.0,456.0,941.0,463.0,1106.0,,,,1090.0,,,796.0,,167.0,1096.0,,Sumter County,LIVINGSTON CIVIC CTR
Sumter County,PANOLA TRAILER,203.0,24.0,203.0,23.0,207.0,,,,207.0,,,193.0,,10.0,212.0,,Sumter County,PANOLA TRAILER
Sumter County,PROVISIONAL,5.0,0.0,5.0,1.0,6.0,,,,6.0,,,4.0,,0.0,6.0,,Sumter County,PROVISIONAL
Sumter County,WARD COMMUNITY CTR,152.0,58.0,151.0,58.0,167.0,,,,167.0,,,133.0,,23.0,167.0,,Sumter County,WARD COMMUNITY CTR
Sumter County,WHITFIELD TRAILER,70.0,4.0,71.0,4.0,70.0,,,,73.0,,,54.0,,2.0,73.0,,Sumter County,WHITFIELD TRAILER
Sumter County,YORK SUMTER RESCUE,795.0,223.0,806.0,191.0,867.0,,,,866.0,,,708.0,,62.0,873.0,,Sumter County,YORK SUMTER RESCUE
